,time,time,reason,bull or bear
437,04/03/24,12:40:00 PM,super_trend_ said no,
438,04/03/24,12:45:00 PM,super_trend_ said no,
439,04/03/24,12:50:00 PM,Squee said no,
440,04/03/24,12:55:00 PM,super_trend_ said no,
441,04/03/24,1:00:00 PM,super_trend_ said no,
442,04/03/24,1:05:00 PM,super_trend_ said no,
443,04/03/24,1:10:00 PM,super_trend_ said no,
444,04/03/24,1:15:00 PM,Squee said no,
445,04/03/24,1:20:00 PM,super_trend_ said no,
446,04/03/24,1:25:00 PM,Squee said no,
447,04/03/24,1:30:00 PM,Squee said no,
448,04/03/24,1:35:00 PM,super_trend_ said no,
449,04/03/24,1:40:00 PM,super_trend_ said no,
450,04/03/24,1:45:00 PM,super_trend_ said no,
451,04/03/24,1:50:00 PM,Squee said no,
452,04/03/24,1:55:00 PM,super_trend_ said no,
453,04/03/24,2:00:00 PM,super_trend_ said no,
454,04/03/24,2:05:00 PM,Squee said no,
455,04/03/24,2:10:00 PM,super_trend_ said no,
456,04/03/24,2:15:00 PM,super_trend_ said no,
457,04/03/24,2:20:00 PM,super_trend_ said no,
458,04/03/24,2:25:00 PM,super_trend_ said no,
459,04/03/24,2:30:00 PM,super_trend_ said no,
460,04/03/24,2:35:00 PM,super_trend_ said no,
461,04/03/24,2:40:00 PM,super_trend_ said no,
462,04/03/24,2:45:00 PM,super_trend_ said no,
463,04/03/24,2:50:00 PM,super_trend_ said no,
464,04/03/24,2:55:00 PM,super_trend_ said no,
465,04/03/24,3:00:00 PM,nothing,
466,04/03/24,3:05:00 PM,nothing,
467,04/03/24,3:10:00 PM,nothing,
468,04/03/24,3:15:00 PM,nothing,
469,04/03/24,3:20:00 PM,nothing,
470,04/03/24,3:25:00 PM,nothing,
471,05/03/24,9:15:00 AM,super_trend_ said no,
472,05/03/24,9:20:00 AM,super_trend_ said no,
473,05/03/24,9:25:00 AM,super_trend_ said no,
474,05/03/24,9:30:00 AM,super_trend_ said no,
475,05/03/24,9:35:00 AM,super_trend_ said no,
476,05/03/24,9:40:00 AM,super_trend_ said no,
477,05/03/24,9:45:00 AM,super_trend_ said no,
478,05/03/24,9:50:00 AM,super_trend_ said no,
479,05/03/24,9:55:00 AM,super_trend_ said no,
480,05/03/24,10:00:00 AM,super_trend_ said no,
481,05/03/24,10:05:00 AM,super_trend_ said no,
482,05/03/24,10:10:00 AM,super_trend_ said no,
483,05/03/24,10:15:00 AM,super_trend_ said no,
484,05/03/24,10:20:00 AM,super_trend_ said no,
485,05/03/24,10:25:00 AM,super_trend_ said no,
486,05/03/24,10:30:00 AM,super_trend_ said no,
487,05/03/24,10:35:00 AM,super_trend_ said no,
488,05/03/24,10:40:00 AM,super_trend_ said no,
489,05/03/24,10:45:00 AM,super_trend_ said no,
490,05/03/24,10:50:00 AM,super_trend_ said no,
491,05/03/24,10:55:00 AM,super_trend_ said no,
492,05/03/24,11:00:00 AM,super_trend_ said no,
493,05/03/24,11:05:00 AM,super_trend_ said no,
494,05/03/24,11:10:00 AM,super_trend_ said no,
495,05/03/24,11:15:00 AM,super_trend_ said no,
496,05/03/24,11:20:00 AM,super_trend_ said no,
497,05/03/24,11:25:00 AM,super_trend_ said no,
498,05/03/24,11:30:00 AM,super_trend_ said no,
499,05/03/24,11:35:00 AM,super_trend_ said no,
500,05/03/24,11:40:00 AM,super_trend_ said no,
501,05/03/24,11:45:00 AM,super_trend_ said no,
502,05/03/24,11:50:00 AM,Squee said no,
503,05/03/24,11:55:00 AM,super_trend_ said no,
504,05/03/24,12:00:00 PM,super_trend_ said no,
505,05/03/24,12:05:00 PM,super_trend_ said no,
506,05/03/24,12:10:00 PM,super_trend_ said no,
507,05/03/24,12:15:00 PM,super_trend_ said no,
508,05/03/24,12:20:00 PM,super_trend_ said no,
509,05/03/24,12:25:00 PM,super_trend_ said no,
510,05/03/24,12:30:00 PM,super_trend_ said no,
511,05/03/24,12:35:00 PM,super_trend_ said no,
512,05/03/24,12:40:00 PM,super_trend_ said no,
513,05/03/24,12:45:00 PM,super_trend_ said no,
514,05/03/24,12:50:00 PM,super_trend_ said no,
515,05/03/24,12:55:00 PM,super_trend_ said no,
516,05/03/24,1:00:00 PM,super_trend_ said no,
517,05/03/24,1:05:00 PM,super_trend_ said no,
518,05/03/24,1:10:00 PM,super_trend_ said no,
519,05/03/24,1:15:00 PM,super_trend_ said no,
520,05/03/24,1:20:00 PM,super_trend_ said no,
521,05/03/24,1:25:00 PM,super_trend_ said no,
522,05/03/24,1:30:00 PM,super_trend_ said no,
523,05/03/24,1:35:00 PM,super_trend_ said no,
524,05/03/24,1:40:00 PM,super_trend_ said no,
525,05/03/24,1:45:00 PM,super_trend_ said no,
526,05/03/24,1:50:00 PM,super_trend_ said no,
